Policy Number,Inception Date,Months since Inception,Gender,Age,Vehicle,Postcode,Premium Charged,Distance,Journeys,Overall Risk %,High Risk Event,High Risk Event%,Medium Risk Event,Medium Risk Event%,Speeding Events,SpeedingEventsPerMile,DriverScore
XQ22667078,3/15/2013,11,M,19,Renault,HD3 3NZ,3075.49,"4,905",794,3.15%,4,0.50%,21,2.64%,"1,400",0.29,92.22
XQ22667079,3/23/2013,11,M,19,VW,WN7 2LZ,2724.89,"1,134",146,0.68%,0,,1,0.68%,96,0.08,97.71
XQ22667080,3/20/2013,11,M,21,Land Rover,NN17 5EG,1268.11,"4,794",831,11.31%,9,1.08%,85,10.23%,"1,746",0.36,87.91
XQ22667081,3/26/2013,11,M,18,Renault,B94 5BS,3088.35,"5,298",798,3.51%,5,0.63%,23,2.88%,"1,080",0.20,93.85
XQ22667082,4/3/2013,11,M,18,VW,NN18 9DJ,0.00,"5,847","1,679",1.31%,0,,22,1.31%,"1,710",0.29,94.33
XQ22667083,4/6/2013,11,M,20,Mercedes,LE3 1DJ,2981.50,"2,878",983,1.02%,0,,10,1.02%,771,0.27,96.71
XQ22667084,4/17/2013,10,M,19,Renault,DN36 4XX,2313.78,"2,397",376,1.06%,1,0.27%,3,0.80%,261,0.11,95.69
XQ22667085,4/20/2013,10,M,21,BMW,WV11 2QB,4348.01,"3,558",707,23.20%,49,6.93%,115,16.27%,"1,566",0.44,83.89
XQ22667086,4/27/2013,10,M,17,Renault,NE3 4YE,3203.43,938,81,,0,,0,,36,0.04,98.47
XQ22667088,5/29/2013,9,M,17,VW,CR2 7ND,3650.50,"2,214",263,2.66%,2,0.76%,5,1.90%,411,0.19,94.19
XQ22667089,6/7/2013,9,F,16,BMW,ST11 9NP,0.00,"6,340",424,0.71%,0,,3,0.71%,839,0.13,93.97
XQ22667090,6/1/2013,9,M,20,Renault,SK5 6NU,2895.24,"4,672","1,491",2.88%,11,0.74%,32,2.15%,910,0.19,95.97
XQ22667091,6/2/2013,9,M,17,Ford,DY6 8HR,0.00,"1,542",385,0.26%,0,,1,0.26%,55,0.04,99.22
XQ22667092,5/30/2013,9,F,18,Smart,CV2 2BZ,0.00,"2,672",489,2.04%,0,,10,2.04%,548,0.21,94.75
XQ22667093,5/30/2013,9,M,21,Renault,SE17 2AQ,2774.29,"1,985",643,,0,,0,,283,0.14,98.07
XQ22667093,5/30/2013,9,M,21,Vauxhall,SE17 2AQ,2774.29,367,49,10.20%,2,4.08%,3,6.12%,145,0.40,89.38
XQ22667094,6/1/2013,9,F,17,Land Rover,BN8 4TD,0.00,"2,451",374,1.60%,0,,6,1.60%,234,0.10,97.01
XQ22667095,5/31/2013,9,F,17,Renault,HD7 5TS,0.00,"5,658","1,234",0.32%,1,0.08%,3,0.24%,496,0.09,98.18
XQ22667096,5/31/2013,9,M,17,Audi,BL4 7SE,0.00,"5,244","1,900",4.47%,14,0.74%,71,3.74%,"2,439",0.47,93.59
XQ22667097,6/1/2013,9,M,17,Smart,SO22 4JB,3081.58,"3,321",547,2.56%,1,0.18%,13,2.38%,467,0.14,95.63
XQ22667098,6/4/2013,9,F,17,Renault,SO21 3DQ,3539.93,716,118,,0,,0,,38,0.05,98.77
XQ22667099,6/5/2013,9,F,20,Renault,WR11 4TD,3198.28,"4,770",838,3.70%,5,0.60%,26,3.10%,"1,217",0.26,91.36
XQ22667100,6/18/2013,8,F,18,Ford,MK17 8BB,2283.53,"4,291",438,,0,,0,,81,0.02,99.38
XQ22667101,6/6/2013,9,F,17,VW,NE3 1RJ,0.00,"1,841",647,0.46%,0,,3,0.46%,331,0.18,96.57
XQ22667102,6/6/2013,9,M,21,Vauxhall,L20 0BE,3389.85,"4,994","1,337",2.32%,3,0.22%,28,2.09%,"1,145",0.23,94.46
XQ22667103,6/7/2013,9,M,17,Land Rover,KT21 1QY,0.00,"4,035",446,0.90%,2,0.45%,2,0.45%,278,0.07,96.98
XQ22667104,6/8/2013,9,F,17,Audi,WD6 2DN,0.00,"2,907",837,1.31%,2,0.24%,9,1.08%,674,0.23,95.58
XQ22667105,6/8/2013,9,F,17,Smart,KT22 9DT,3044.12,"3,120",488,1.02%,0,,5,1.02%,340,0.11,96.81
XQ22667106,6/7/2013,9,F,17,Land Rover,DE55 7DZ,3377.53,"5,673",784,0.89%,1,0.13%,6,0.77%,650,0.11,95.93
XQ22667107,6/10/2013,9,F,20,Renault,DN11 9QE,0.00,"11,108",906,3.75%,5,0.55%,29,3.20%,"1,884",0.17,91.29
XQ22667108,6/10/2013,9,F,20,Vauxhall,DN11 9ER,0.00,"2,027",218,1.38%,3,1.38%,0,,292,0.14,90.97
XQ22667109,6/10/2013,9,F,17,Land Rover,L37 1NR,0.00,"2,067",554,1.81%,0,,10,1.81%,322,0.16,95.89
XQ22667110,6/10/2013,9,M,17,VW,M28 3HS,0.00,"4,150","1,458",2.33%,3,0.21%,31,2.13%,"1,246",0.30,94.94
XQ22667111,6/11/2013,9,M,18,Renault,LS16 8BP,2912.78,"4,958","1,077",0.74%,2,0.19%,6,0.56%,649,0.13,97.08
XQ22667112,6/11/2013,9,F,17,Renault,LE13 1TA,2317.49,"3,421",573,0.17%,0,,1,0.17%,166,0.05,98.24
XQ22667113,6/11/2013,9,M,17,Renault,CF32 0BL,0.00,"3,054",622,0.64%,2,0.32%,2,0.32%,305,0.10,97.54
XQ22667114,6/15/2013,8,F,18,Audi,DE12 7BB,3630.59,"4,550",459,3.70%,1,0.22%,16,3.49%,891,0.20,92.12
XQ22667115,6/13/2013,8,M,18,VW,CM2 8XT,3550.31,"1,492",257,5.06%,1,0.39%,12,4.67%,399,0.27,92.46
XQ22667116,6/13/2013,8,M,19,Audi,BN2 8SR,2042.98,"2,323",397,0.50%,0,,2,0.50%,134,0.06,97.73
XQ22667117,6/15/2013,8,F,18,Land Rover,NE34 7BW,3065.88,"5,431","1,047",1.91%,4,0.38%,16,1.53%,"1,267",0.23,94.25
XQ22667118,6/14/2013,8,M,17,Renault,CV36 4JR,3706.78,"3,442",448,4.91%,2,0.45%,20,4.46%,628,0.18,92.85
XQ22667119,6/13/2013,8,M,18,Renault,WF1 3TD,3395.58,"3,842","1,296",0.69%,2,0.15%,7,0.54%,299,0.08,98.45
XQ22667120,6/13/2013,8,M,17,Land Rover,WA15 6NF,0.00,325,82,,0,,0,,80,0.25,93.58
XQ22667121,6/19/2013,8,M,17,VW,LE15 8BH,3094.07,"2,646",227,3.96%,2,0.88%,7,3.08%,301,0.11,92.82
XQ22667122,6/22/2013,8,M,21,Land Rover,AB39 2EE,1914.08,619,164,13.41%,6,3.66%,16,9.76%,193,0.31,86.96
XQ22667123,6/14/2013,8,M,17,Renault,TW7 4NW,0.00,879,205,0.49%,1,0.49%,0,,74,0.08,98.30
XQ22667124,6/20/2013,8,F,18,Audi,EX34 8EQ,3151.52,"1,829",286,0.70%,0,,2,0.70%,237,0.13,95.56
XQ22667125,6/28/2013,8,F,21,Ford,B37 6BG,1624.32,"6,151","1,552",,0,,0,,232,0.04,99.29
XQ22667127,6/14/2013,8,M,21,BMW,B77 4PA,0.00,"2,575",593,16.86%,37,6.24%,63,10.62%,"1,268",0.49,83.59
XQ22667128,6/16/2013,8,M,21,Land Rover,B92 0HS,0.00,"3,116",435,11.26%,5,1.15%,44,10.11%,"1,042",0.33,88.10
XQ22667130,6/18/2013,8,F,17,Audi,GL54 4JT,2968.65,"3,071",387,1.29%,1,0.26%,4,1.03%,230,0.07,96.68
XQ22667131,6/17/2013,8,M,18,Vauxhall,SK10 2LD,0.00,919,274,3.65%,0,,10,3.65%,259,0.28,93.47
XQ22667132,6/17/2013,8,F,17,BMW,IV31 6RJ,2170.32,"2,486",864,2.55%,3,0.35%,19,2.20%,576,0.23,94.63
XQ22667133,6/18/2013,8,F,17,Audi,CA15 6QT,2458.91,"4,525",706,,0,,0,,247,0.05,97.80
XQ22667135,6/19/2013,8,M,17,BMW,SL3 6SB,0.00,"4,589",947,3.59%,7,0.74%,27,2.85%,"1,343",0.29,92.88
XQ22667136,6/19/2013,8,F,17,Audi,OL4 5QN,0.00,"1,574",431,0.46%,0,,2,0.46%,227,0.14,97.85
XQ22667137,6/21/2013,8,M,19,Renault,RH1 4QE,2346.35,"12,227","1,426",0.21%,0,,3,0.21%,494,0.04,98.67
XQ22667138,6/21/2013,8,M,17,Land Rover,WV4 4XB,0.00,"5,656",804,3.61%,1,0.12%,28,3.48%,"1,006",0.18,93.84
XQ22667139,6/25/2013,8,F,17,Vauxhall,HP18 9RP,0.00,"3,549",488,1.23%,1,0.20%,5,1.02%,358,0.10,96.43
XQ22667140,6/22/2013,8,F,18,Ford,SP11 6LB,2582.39,"3,908",384,0.26%,0,,1,0.26%,181,0.05,97.31
XQ22667141,6/20/2013,8,F,17,Audi,BL9 8NG,0.00,"3,045",729,0.82%,1,0.14%,5,0.69%,413,0.14,97.11
XQ22667142,6/21/2013,8,M,18,VW,HP10 8DN,0.00,328,84,,0,,0,,37,0.11,97.23
XQ22667143,6/21/2013,8,F,17,Mercedes,N20 9AT,0.00,"2,302",421,0.24%,1,0.24%,0,,197,0.09,97.91
XQ22667144,6/21/2013,8,M,17,Ford,SK14 4UH,0.00,"1,140",398,,0,,0,,45,0.04,99.37
XQ22667145,6/21/2013,8,M,17,Renault,LS22 4EN,0.00,"3,088",513,2.92%,1,0.19%,14,2.73%,562,0.18,94.23
XQ22667146,6/22/2013,8,F,18,VW,B36 9SU,2917.75,"2,601",414,3.14%,0,,13,3.14%,661,0.25,92.52
XQ22667147,6/24/2013,8,M,17,Ford,IV4 7EX,2301.07,"2,071",288,,0,,0,,41,0.02,99.41
XQ22667148,6/24/2013,8,M,21,BMW,SG11 2LQ,2475.66,"2,824",356,23.03%,34,9.55%,48,13.48%,"1,404",0.50,79.83
XQ22667149,7/1/2013,8,M,20,Renault,NN3 8EJ,889.47,"7,697","1,750",0.80%,4,0.23%,10,0.57%,464,0.06,98.35
XQ22667150,6/30/2013,8,M,17,Mercedes,RH20 2ER,0.00,"5,829",937,4.70%,6,0.64%,38,4.06%,"1,088",0.19,92.92
XQ22667151,6/25/2013,8,M,17,Vauxhall,IG10 4PX,0.00,"5,342","1,016",3.64%,8,0.79%,29,2.85%,982,0.18,94.43
XQ22667152,6/25/2013,8,F,17,Vauxhall,NP18 3RS,0.00,"4,827","1,011",9.40%,16,1.58%,79,7.81%,"2,163",0.45,89.59
XQ22667154,6/25/2013,8,F,17,Land Rover,PE6 7HD,3686.90,"5,481","1,094",1.28%,1,0.09%,13,1.19%,"1,133",0.21,94.13
XQ22667155,6/26/2013,8,M,21,BMW,CH49 6DA,0.00,722,166,23.49%,26,15.66%,13,7.83%,464,0.64,78.58
XQ22667156,6/26/2013,8,M,20,BMW,NE16 4SX,3134.33,583,40,37.50%,4,10.00%,11,27.50%,360,0.62,62.36
XQ22667157,6/26/2013,8,F,21,Land Rover,B24 0QF,2299.98,"4,138",874,11.90%,19,2.17%,85,9.73%,"1,998",0.48,88.35
XQ22667158,6/29/2013,8,F,17,Ford,B60 4HH,3136.22,"3,494",511,,0,,0,,462,0.13,95.15
XQ22667160,6/29/2013,8,F,20,VW,BB4 4PF,0.00,"3,659",639,5.01%,1,0.16%,31,4.85%,946,0.26,91.23
XQ22667161,6/29/2013,8,M,17,Renault,LE11 3PZ,0.00,"3,400",601,2.50%,2,0.33%,13,2.16%,830,0.24,93.29
XQ22667162,6/29/2013,8,F,17,Audi,OX14 4LZ,3108.86,"4,151",779,0.64%,1,0.13%,4,0.51%,466,0.11,97.57
XQ22667163,6/29/2013,8,F,17,Ford,ST10 4SW,3196.70,"3,801",436,,0,,0,,53,0.01,99.74
XQ22667164,6/29/2013,8,M,20,BMW,CV23 0XA,0.00,"1,637",220,29.09%,12,5.45%,52,23.64%,728,0.44,82.53
XQ22667165,7/1/2013,8,F,17,BMW,DL14 9UD,1357.75,"8,713","1,342",0.52%,0,,7,0.52%,660,0.08,97.68
XQ22667167,7/14/2013,7,F,17,Ford,M26 1PW,952.36,"1,812",228,,0,,0,,9,0.00,99.97
XQ22667168,7/3/2013,8,M,17,BMW,AB56 1TP,1215.46,"2,487",689,0.73%,0,,5,0.73%,503,0.20,94.40
XQ22667169,7/7/2013,8,F,18,BMW,TW15 3EH,2157.22,"3,098",654,7.19%,12,1.83%,35,5.35%,981,0.32,92.26
XQ22667170,7/6/2013,8,F,17,Ford,DA11 8HU,1730.32,237,133,,0,,0,,2,0.01,100.00
XQ22667171,7/5/2013,8,F,17,Ford,CT2 0HE,1360.82,"2,558",457,,0,,0,,33,0.01,99.85
XQ22667172,7/5/2013,8,M,17,Vauxhall,BA22 7LL,1619.95,"4,497",522,1.34%,0,,7,1.34%,673,0.15,95.00
XQ22667173,7/6/2013,8,F,17,Ford,E4 6LY,1825.90,"2,073",589,,0,,0,,29,0.01,99.73
XQ22667174,7/10/2013,8,M,20,Vauxhall,B98 0EY,1254.92,"4,390","1,278",3.13%,4,0.31%,36,2.82%,"1,273",0.29,94.05
XQ22667175,7/9/2013,8,M,17,VW,M45 7DL,3238.70,"4,064","1,143",1.75%,5,0.44%,15,1.31%,840,0.21,95.95
XQ22667176,7/16/2013,7,M,21,Land Rover,SM2 7HS,1325.50,"3,764",974,13.14%,31,3.18%,97,9.96%,"1,923",0.51,88.45
XQ22667177,7/12/2013,8,M,20,VW,SW15 6AN,1147.26,"1,228",286,1.75%,0,,5,1.75%,162,0.13,96.00
XQ22667178,7/19/2013,7,M,21,Land Rover,WV4 5NB,1948.58,"3,008",626,8.95%,4,0.64%,52,8.31%,"1,356",0.45,88.55
XQ22667179,7/13/2013,7,M,17,VW,NG2 6RP,1519.23,"2,461",496,5.65%,6,1.21%,22,4.44%,569,0.23,92.44
XQ22667180,7/15/2013,7,F,17,Vauxhall,CV34 6PN,1328.15,"3,235",839,7.15%,8,0.95%,52,6.20%,"1,268",0.39,90.18
XQ22667181,7/15/2013,7,F,17,Ford,AL4 9SA,1578.66,687,256,,0,,0,,8,0.01,99.84
XQ22667182,7/22/2013,7,M,20,Vauxhall,M45 7LW,3392.79,"6,995","1,320",7.20%,6,0.45%,89,6.74%,"2,269",0.32,90.79
XQ22667183,7/17/2013,7,M,18,BMW,DL14 9UZ,1618.63,"2,977",398,11.56%,10,2.51%,36,9.05%,962,0.32,85.74
XQ22667184,7/19/2013,7,M,21,BMW,BR2 6DQ,1608.03,"1,428",158,18.35%,6,3.80%,23,14.56%,563,0.39,84.63
XQ22667185,7/22/2013,7,F,17,Renault,YO24 1UP,1247.92,850,176,1.14%,0,,2,1.14%,70,0.08,98.27
XQ22667186,7/27/2013,7,M,18,VW,B38 9TD,3351.31,"3,880",742,2.83%,5,0.67%,16,2.16%,638,0.16,95.77
XQ22667187,7/19/2013,7,M,17,Vauxhall,S81 8LJ,1385.94,"1,439",238,10.08%,4,1.68%,20,8.40%,578,0.40,89.55
XQ22667188,7/20/2013,7,M,17,Vauxhall,BR3 6RJ,1974.18,"2,986",592,4.22%,3,0.51%,22,3.72%,"1,008",0.34,93.10
XQ22667189,7/22/2013,7,F,17,Renault,PH2 0DP,1166.66,"1,775",288,0.69%,1,0.35%,1,0.35%,62,0.03,98.72
XQ22667190,7/26/2013,7,M,17,Renault,BB1 2QF,3006.32,"4,358",909,2.42%,4,0.44%,18,1.98%,767,0.18,96.26
XQ22667192,7/30/2013,7,M,18,Vauxhall,RM8 3QX,3156.35,"3,915",671,9.39%,8,1.19%,55,8.20%,"1,497",0.38,89.96
XQ22667193,7/26/2013,7,F,17,BMW,TN14 7AX,1518.43,"4,256",674,6.97%,5,0.74%,42,6.23%,963,0.23,92.41
XQ22667194,7/26/2013,7,F,17,Seat,WD7 8HT,1765.55,"2,649",362,1.66%,0,,6,1.66%,362,0.14,96.00
XQ22667195,7/26/2013,7,M,17,Renault,B93 0EA,1632.97,"1,048",264,0.38%,0,,1,0.38%,77,0.07,98.76
XQ22667196,7/26/2013,7,F,17,Mercedes,GL10 3PZ,1290.61,"4,555",728,2.06%,3,0.41%,12,1.65%,941,0.21,93.83
XQ22667197,7/27/2013,7,F,17,Ford,M41 6NQ,2941.90,"3,114",889,1.01%,1,0.11%,8,0.90%,394,0.13,97.62
XQ22667198,7/27/2013,7,F,17,Ford,DA5 2DD,1839.53,"5,233",353,1.42%,0,,5,1.42%,544,0.10,94.00
XQ22667199,7/30/2013,7,F,17,Vauxhall,GL4 3YW,1381.96,"1,325",527,1.14%,0,,6,1.14%,322,0.24,96.18
XQ22667200,7/31/2013,7,F,17,VW,RG8 0RZ,1292.73,"1,577",203,0.49%,0,,1,0.49%,112,0.07,97.63
XQ22667201,7/30/2013,7,M,20,Vauxhall,G23 5DU,1234.93,"2,799",594,10.44%,19,3.20%,43,7.24%,836,0.30,90.21
XQ22667202,8/6/2013,7,F,18,Ford,TW13 5LP,1983.34,"1,377",442,0.23%,0,,1,0.23%,49,0.04,99.36
XQ22667203,8/2/2013,7,M,17,VW,CW6 0HQ,1460.40,"1,256",192,2.60%,0,,5,2.60%,234,0.19,94.88
XQ22667204,8/2/2013,7,F,17,VW,TN25 7HS,1252.41,"3,779",540,5.37%,3,0.56%,26,4.81%,"1,110",0.29,91.47
XQ22667205,8/3/2013,7,F,21,Land Rover,MK5 8FB,1407.92,"2,701",501,8.18%,1,0.20%,40,7.98%,987,0.37,88.66
XQ22667206,8/5/2013,7,M,17,BMW,B91 3NN,1738.95,"3,893","1,144",4.02%,9,0.79%,37,3.23%,"1,010",0.26,94.38
XQ22667207,8/5/2013,7,F,17,Smart,NG5 4FL,1394.57,809,293,,0,,0,,91,0.11,97.43
XQ22667208,8/5/2013,7,M,17,Renault,LS16 8NP,1924.19,"1,417",356,1.40%,0,,5,1.40%,103,0.07,98.67
XQ22667209,8/7/2013,7,F,17,Vauxhall,PE7 2BQ,1471.62,"3,639",437,4.58%,0,,20,4.58%,"1,176",0.32,89.48
XQ22667210,8/7/2013,7,M,18,BMW,BB1 2NY,2642.43,"2,706",418,2.87%,0,,12,2.87%,500,0.18,93.04
XQ22667211,8/7/2013,7,M,17,Vauxhall,WA15 8PZ,2045.94,534,199,,0,,0,,33,0.06,99.06
XQ22667213,8/9/2013,7,F,21,Renault,HA3 6EF,1877.79,"5,086",467,0.64%,1,0.21%,2,0.43%,573,0.11,95.45
XQ22667214,8/9/2013,7,M,17,VW,DH1 2LP,1564.42,"1,486",420,0.48%,1,0.24%,1,0.24%,145,0.10,97.83
XQ22667215,8/7/2013,7,F,17,Audi,WD6 3LY,1732.11,881,232,0.43%,0,,1,0.43%,113,0.13,97.43
XQ22667216,8/9/2013,7,M,17,Ford,CW8 2FE,2034.36,"3,777",983,3.15%,2,0.20%,29,2.95%,717,0.19,94.83
XQ22667217,8/9/2013,7,M,18,Vauxhall,GU35 0JE,1297.24,"3,070",250,0.40%,0,,1,0.40%,194,0.06,95.33
XQ22667218,8/15/2013,6,F,18,Audi,CH2 1NN,1491.54,305,49,2.04%,0,,1,2.04%,57,0.19,92.97
XQ22667219,8/12/2013,7,M,17,Renault,DN14 0NE,1742.26,761,124,,0,,0,,72,0.09,96.92
XQ22667220,8/16/2013,6,F,19,Audi,SE9 4BJ,1731.80,"2,794",654,1.53%,6,0.92%,4,0.61%,249,0.09,97.42
XQ22667221,8/13/2013,6,M,21,Land Rover,TS19 7PT,1839.88,"3,068",622,7.72%,11,1.77%,37,5.95%,"1,201",0.39,89.16
XQ22667222,8/14/2013,6,F,18,Land Rover,L35 4PU,1872.25,"1,229",151,,0,,0,,136,0.11,95.55
XQ22667223,8/14/2013,6,F,17,VW,NN17 3BP,1368.71,"3,161",428,1.40%,1,0.23%,5,1.17%,493,0.16,94.92
XQ22667224,8/20/2013,6,M,17,VW,CV7 9LH,1361.83,615,118,3.39%,0,,4,3.39%,83,0.13,96.59
XQ22667225,8/15/2013,6,F,21,Vauxhall,CT19 4BJ,1388.32,986,98,4.08%,0,,4,4.08%,236,0.24,89.19
XQ22667226,8/15/2013,6,F,20,Renault,UB5 6AP,1474.88,"1,170",469,0.64%,0,,3,0.64%,100,0.09,98.74
XQ22667228,8/15/2013,6,M,21,Land Rover,DN22 8PT,1645.07,"1,762",110,7.27%,1,0.91%,7,6.36%,354,0.20,87.74
XQ22667229,8/15/2013,6,F,17,Renault,BS31 1QT,1390.93,463,128,,0,,0,,50,0.11,98.18
XQ22667231,8/19/2013,6,M,17,Ford,DE56 4GN,1540.60,"2,062",382,1.57%,0,,6,1.57%,321,0.16,95.68
XQ22667232,8/17/2013,6,M,21,Land Rover,EH54 8RD,1274.41,"1,396",351,11.40%,10,2.85%,30,8.55%,858,0.61,87.33
XQ22667233,8/19/2013,6,F,17,Ford,CR5 3QB,1837.94,"1,752",433,,0,,0,,21,0.01,99.77
XQ22667236,8/21/2013,6,F,17,Ford,PR8 2HT,1647.73,"2,390",433,0.46%,0,,2,0.46%,553,0.23,94.21
XQ22667237,8/21/2013,6,F,17,VW,G71 5EA,2021.94,"2,178",620,1.45%,1,0.16%,8,1.29%,501,0.23,94.44
XQ22667238,8/22/2013,6,M,17,Audi,DE11 7AS,1348.91,"2,380",427,2.34%,2,0.47%,8,1.87%,423,0.18,94.90
XQ22667239,8/23/2013,6,F,17,VW,NE45 5BA,1485.10,"3,629",399,0.75%,0,,3,0.75%,317,0.09,95.11
XQ22667240,8/28/2013,6,F,19,VW,WF12 7QS,1350.76,"1,878",307,1.63%,2,0.65%,3,0.98%,166,0.09,96.96
XQ22667241,8/26/2013,6,M,17,Mercedes,G71 5QW,1550.46,"2,285",463,4.32%,3,0.65%,17,3.67%,596,0.26,92.73
XQ22667242,8/29/2013,6,F,20,Seat,DN14 8DJ,1934.03,948,208,8.17%,2,0.96%,15,7.21%,300,0.32,91.15
XQ22667243,9/1/2013,6,F,17,Renault,DD9 7QD,1425.02,"4,248",620,1.13%,0,,7,1.13%,355,0.08,97.70
XQ22667244,8/27/2013,6,M,17,VW,KT13 0AG,1455.01,384,77,,0,,0,,39,0.10,97.72
XQ22667245,8/28/2013,6,F,17,Audi,HU15 1RF,1483.91,"3,725",464,0.65%,1,0.22%,2,0.43%,596,0.16,94.94
XQ22667246,9/2/2013,6,M,17,Renault,WN3 6JP,2505.49,"1,351",249,3.21%,1,0.40%,7,2.81%,461,0.34,93.34
XQ22667247,9/1/2013,6,M,18,Vauxhall,RH17 7QA,1303.72,"2,053",312,,0,,0,,55,0.03,98.93
XQ22667248,9/7/2013,6,M,17,Renault,TS6 0QQ,1754.02,"1,865",520,4.62%,6,1.15%,18,3.46%,753,0.40,92.00
XQ22667249,8/31/2013,6,F,18,VW,B78 3YB,1502.39,"4,532","1,156",1.73%,6,0.52%,14,1.21%,372,0.08,97.91
